,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4011,4011,4011,4011,4011,4011,4011,28,3998,3998,3994,3902,2416,141,4011,4011,4011
unique,1,1,2,3,13,3506,345,26,817,454,24,24,98,24,1151,3992,3867
top,portal inmobiliario,rm,aparment,propiedades usadas,17-07-2020,el golf barrio el golf las condes,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,163.95 m totales 4 dormitorios 3 banos,superficie total 5000 m,superficie util 140 m,dormitorios 3,banos 2,estacionamientos 1,bodegas 1,uf 1.799,https://www.portalinmobiliario.com/venta/casa/la-reina-metropolitana/7653-townhouse-garden-nva#position=37&type=item&tracking_id=cce6de3d-c3d9-4787-80c3-08f8f46edd44,descripcion **te respondemos por wspp favor deja tu n de cel** inmobiliaria nucleos. zona residencial vitacura luis carrera. 54 deptos. 6 pisos. departamentos de 1-2-3 dormitorios. edificio con sistema de reciclaje / gimnasio / salon de eventos con kitchenette / bicicletero / areas verdes / sala de estudio. el proyecto cuenta con 115 estacionamientos vendibles ubicados en el subterraneo y 23 estacionamientos de visitas en primer piso; ademas de 60 estacionamientos de bicicletas asignables 2 estacionamientos de motos asignables y 12 estacionamientos de bicicletas de visitas todos estos ultimos ubicados en primer piso. incluye beneficio tributario dfl2. **fotos piloto y proyecto. precios: 1d + 2b uf9.300 sur piso 6 51mst2 + terraza 60mts2 quincho (2 unidades). 2d + 2b uf11.206 a uf12.269 oriente y poniente 83mts2 + 7 terraza (7 unidades). 2d + 2b uf11.553 a uf12.488 oriente y poniente 87mts2 + 8 terraza (6 unidades). 3d + 3b uf13.566 a uf14.492 norte y sur 103mts2 + 9 terraza (16 unidades). 3d + 3b uf17.431 a uf18.435 suroriente o surponiente 130mts2 + 28mts2 terraza (8 unidades). 3d + 4b uf19.869 a uf20.871 norponiente 147mts2 + 28mts2 terraza (4 unidades). 3d + 4b uf20.895 sur y suroriente ultimo piso 117mts2 + 164mts2 terraza (2 unidades). 3d + 4b uf26.606 norponiente y nororiente ultimo piso 147mts2 + 211mts2 terraza (2 unidades). precios sin estacionamiento ni bodega. (uf500 y uf150 aprox.) disponibles diciembre 2021 15 % comision conseguimos descuentos con inmobiliaria.
freq,4011,4011,2010,2258,840,89,271,2,60,208,1390,917,576,68,43,6,7
