Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","recoleta","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","114","56","2","2","1","1","1","3194","https://www.portalinmobiliario.com/mlc-538237849-departamento-en-venta-de-2-dorm-en-recoleta-_jm"
"portal inmobiliario","rm","vitacura","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","171","140","4","4","2","1","1","13600","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5731924-monsenor-escriva-de-balaguer-padre-hurtado-uda"
"portal inmobiliario","rm","vitacura","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","162","122","3","3","1","1","1","12300","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5424983-pedro-canisioarcangel-uda"
"portal inmobiliario","rm","estacion central","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","28","28","1","1","0","0","0","1742","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736911-las-rejas-norte-uda"
"portal inmobiliario","rm","estacion central","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","38","35","1","1","0","0","1","2000","https://www.portalinmobiliario.com/mlc-538231853-nicasio-retamales-metro-san-alberto-hurtado-inversionistas-_jm"
"portal inmobiliario","rm","quinta normal","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","51","48","2","1","1","1","0","2200","https://www.portalinmobiliario.com/venta/departamento/quinta-normal-metropolitana/5589912-santo-domingo-uda"
"portal inmobiliario","rm","las condes","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","70","70","1","1","1","1","1","4444","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5734328-se-vende-gran-departamento-de-70mt2-uda"
"portal inmobiliario","rm","nunoa","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","78","76","3","2","0","1","1","5000","https://www.portalinmobiliario.com/mlc-538112149-departamento-en-venta-de-3-dorm-en-nunoa-_jm"
"portal inmobiliario","rm","san miguel","24/07/2020","aparment","nueva","-16","entrega inmediata","-16","-16","-16","N","75","48","2","1","1","1","1","2548","https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/7165-edificio-el-llano-nva"
"portal inmobiliario","rm","nunoa","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","72","67","2","2","1","1","1","5950","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5732702-nunoa-nuevos-2-3d-primeros-pisos-con-jardin-uda"
"portal inmobiliario","rm","las condes","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","140","130","3","3","1","1","0","11400","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/4452733-universidad-de-los-andes-uda"
"portal inmobiliario","rm","providencia","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","235","127","3","3","1","1","0","10300","https://www.portalinmobiliario.com/mlc-537935040-departamento-en-venta-de-3-dorm-en-providencia-_jm"
"portal inmobiliario","rm","lo barnechea","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","163","143","3","3","1","1","1","11990","https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5425375-la-dehesa-robles-uda"
"portal inmobiliario","rm","la reina","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","83","73","3","2","1","1","1","6850","https://www.portalinmobiliario.com/mlc-538231289-hannover-av-ossa-metro-y-mall-plaza-nunoa-_jm"
"portal inmobiliario","rm","las condes","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","79","76","3","2","1","1","0","5050","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5610211-vital-apoquindo-blanche-uda"
"portal inmobiliario","rm","las condes","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","-16","112","3","2","1","1","0","7600","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5735772-20387-vasco-de-gama-martin-alonso-pi-uda"
"portal inmobiliario","rm","estacion central","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","48","43","2","1","1","1","1","2490","https://www.portalinmobiliario.com/mlc-538231713-nicasio-retamales-metro-san-alberto-hurtado-inversionistas-_jm"
"portal inmobiliario","rm","nunoa","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","80","74","3","2","1","1","1","5990","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5736133-duble-almeyda-pedro-de-valdivia-uda"
"portal inmobiliario","rm","nunoa","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","85","85","2","2","0","1","1","6300","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5735632-exequiel-fernandez-uda"
"portal inmobiliario","rm","lo conchali","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","64","64","3","2","1","0","0","2777","https://www.portalinmobiliario.com/mlc-538234853-av-independencia-metros-vivaceta-y-cardenal-caro-_jm"
