,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3873.0,3873,3873,3873,3873,3873,3873,3873.0,3873,3873.0,3873.0,3873.0,3873,3873.0,3873,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873.0,3873
unique,,1,1,49,7,2,2,,3,,,,2,,21,,,,,,,,,,,,,3838
top,,portal inmobiliario,rm,las condes,2020-08-24,house,usada,,disponible,,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/macul-metropolitana/7768-accion-vespucio-nva
freq,,3873,3873,693,1134,1973,3831,,3760,,,,3407,,1524,,,,,,,,,,,,,4
mean,20200826.0,,,,,,,-15.445391169635942,,-16.0,9100.372321198038,-15.93157758843274,,3.072295378259747,,13459.817454169894,13157.756003098373,3.2987348308804543,2.479731474309321,0.3490833978827782,0.8556674412600052,0.5277562612961528,0.47121094758585075,8614.290730699717,79.60392460624838,252740.6736380067,17512.16447198554,
std,0.0,,,,,,,4.613488024719459,,0.0,41721.87573355886,1.740296894268352,,1.9479113956469207,,803455.9758837401,803459.4115045689,1.5398766151360304,1.136665746287985,0.4767419250873287,0.8609884796577678,0.5008428335135547,0.49923495723431416,5796.435803841628,245.09392934030316,15317926.090639964,1056376.3465327513,
min,20200826.0,,,,,,,-16.0,,-16.0,-16.0,-16.0,,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,0.0,-268.0,-110.0,
25%,20200826.0,,,,,,,-16.0,,-16.0,-16.0,-16.0,,1.0,,78.0,63.0,2.0,2.0,0.0,0.0,0.0,0.0,3663.0,49.0,872.0,190.0,
50%,20200826.0,,,,,,,-16.0,,-16.0,-16.0,-16.0,,3.0,,143.0,104.0,3.0,2.0,0.0,1.0,1.0,0.0,7300.0,68.0,1843.0,262.0,
75%,20200826.0,,,,,,,-16.0,,-16.0,-16.0,-16.0,,5.0,,300.0,160.0,4.0,3.0,1.0,1.0,1.0,1.0,12180.0,88.0,3734.0,377.0,
max,20200826.0,,,,,,,55.0,,-16.0,800000.0,72.0,,5.0,,50000000.0,50000000.0,41.0,7.0,1.0,10.0,2.0,1.0,25000.0,9453.0,953250000.0,65741379.0,
