,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,4041,4041,4041,4041,4041,4041,4041.0,4041,4041,4041.0,4041.0,4041,4041.0,4041.0,4041.0,4041.0,4041.0,4041.0,4041.0,4041.0,4041
unique,1,1,50,9,2,2,,6,9,,,2,,,,,,,,,3912
top,portal inmobiliario,rm,las condes,08/06/2020,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva
freq,4041,4041,699,1021,2028,3990,,3954,3991,,,3369,,,,,,,,,6
mean,,,,,,,-15.53476862162831,,,4613.671863400148,-15.931947537738184,,372.055431823806,183.68126701311556,3.162583518930958,2.4543429844097995,0.8537490720118782,0.49072011878247956,0.4315763424894828,8730.310319227914,
std,,,,,,,4.971387563756679,,,32000.178040535386,1.2195078512364026,,1004.9480228398485,3936.159988782853,1.5016643100291875,1.1682501809556347,0.93826331322308,0.5063708001466652,0.49535737142025216,6031.930363664188,
min,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,-16.0,1.0,1.0,0.0,0.0,0.0,1006.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,61.0,58.0,2.0,2.0,0.0,0.0,0.0,3350.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,144.0,108.0,3.0,2.0,1.0,0.0,0.0,7300.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,320.0,162.0,4.0,3.0,1.0,1.0,1.0,12500.0,
max,,,,,,,100.0,,,1000000.0,16.0,,19000.0,250201.0,30.0,15.0,12.0,3.0,1.0,24990.0,
