,Srce,Region,PropertyType,PropertyState,PublishedDate,Title,Section,Models,fld0,fld1,fld2,fld3,fld4,fld5,FullPrice,Link,Description
count,4010,4010,4010,4010,4008,4010,4010,19,4008,4004,3997,3939,3168,214,4010,4010,4010
unique,1,1,2,3,6,3586,354,19,807,483,29,25,90,24,1096,3996,3869
top,portal inmobiliario,rm,aparment,propiedades usadas,30-07-2020,general amengual metro ecuador estacion central,volver al listado casas venta propiedades usadas rm (metropolitana) colina chicureo compartir compartir imprimir pdf,48.57 m totales 2 dormitorios 1 banos,superficie total 300 m,superficie util 140 m,dormitorios 3,ambientes 3,banos 2,bodegas 1,uf 1.799,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/7462-isa-mar-jonico-nva#position=29&type=item&tracking_id=0c8509cc-6331-423e-97a2-b1425ea21c8b,descripcion de la publicacion el vendedor no incluyo una descripcion del inmueble
freq,4010,4010,2013,2432,1611,43,175,1,55,231,1294,645,676,152,41,6,6
