,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3550,3550,3550,3550,3550,3550,3550.0,3550,3550,3550.0,3550.0,3550,3550.0,3550.0,3550.0,3550.0,3550.0,3550.0,3550.0,3550.0,3550
unique,1,1,50,8,2,2,,6,9,,,2,,,,,,,,,3424
top,portal inmobiliario,rm,las condes,2020-08-03,house,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/puente-alto-metropolitana/9467-casas-hacienda-conquistadores-puente-alto-nva
freq,3550,3550,684,871,1988,3499,,3464,3500,,,3275,,,,,,,,,6
mean,,,,,,,-15.474929577464788,,,5253.99661971831,-15.922535211267606,,425.6591549295775,207.8338028169014,3.357183098591549,2.5940845070422536,0.92,0.5205633802816901,0.4763380281690141,9399.939154929578,
std,,,,,,,5.294570729958919,,,34092.619939161814,1.3008544760029828,,1061.1218967634097,4199.00477917271,1.467319569991716,1.1510436998406137,0.9458842940730229,0.5069255151879408,0.4995101557601996,5980.011567872587,
min,,,,,,,-16.0,,,-16.0,-16.0,,19.0,-16.0,1.0,1.0,0.0,0.0,0.0,1006.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,89.25,72.0,3.0,2.0,0.0,0.0,0.0,4200.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,170.0,120.0,3.0,3.0,1.0,1.0,0.0,8500.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,359.75,170.0,4.0,3.0,1.0,1.0,1.0,13000.0,
max,,,,,,,100.0,,,1000000.0,16.0,,19000.0,250201.0,30.0,15.0,10.0,3.0,1.0,24990.0,
