,PriceUnit,Price,item,link
17487,UF,13.500,UF 13.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5132268-para-remodelar-sport-frances-colegios-manquehue-y-san-esteban-diacono-uda#position=7&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17488,UF,15.950,UF 15.950,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4363193-la-llaveria-sin-comision-uda#position=8&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17489,UF,15.950,UF 15.950,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4316437-la-llaveria-sin-comision-uda#position=9&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17490,UF,17.900,UF 17.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4936506-diego-rutal-candelaria-goyenechea-uda#position=10&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17491,UF,16.500,UF 16.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4936044-arturo-uretalas-hualtatas-uda#position=11&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17492,$,448.900.000,$ 448.900.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5117862-javier-de-viana-2377-uda#position=12&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17493,UF,23.900,UF 23.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4763368-escriva-de-balaguer-uda#position=13&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17494,UF,24.500,UF 24.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4761336-santa-maria-de-manquehue-uda#position=14&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17495,UF,22.000,UF 22.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4763123-luis-pasteur-uda#position=15&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17496,UF,18.000,UF 18.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4761473-tabancura-uda#position=16&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17497,UF,15.950,UF 15.950,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4761959-vitacura-oriente-uda#position=17&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17498,UF,18.400,UF 18.400,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5000304-luis-pasteur-uda#position=18&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17499,UF,23.750,UF 23.750,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4761913-santa-teresa-de-los-andes-uda#position=19&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17500,UF,17.000,UF 17.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4978109-vitacura-poniente-uda#position=20&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17501,UF,18.500,UF 18.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4762082-geronimo-de-alderete-uda#position=21&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17502,UF,22.900,UF 22.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5109506-santa-teresa-de-los-andes-0-uda#position=22&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17503,UF,23.500,UF 23.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5104951-en-exclusiva-candelaria-goyenechea-club-de-polo-uda#position=23&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17504,UF,14.500,UF 14.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5102486-casa-remodelada-sector-colegio-manquehue-uda#position=24&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17505,UF,13.990,UF 13.990,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5095038-las-tranqueras-la-huerta-uda#position=25&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17506,UF,16.500,UF 16.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5093727-geronimo-de-alderete-las-hualtatas-uda#position=26&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17507,UF,12.500,UF 12.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5093205-vitacura-uda#position=27&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17508,UF,25.000,UF 25.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5071620-juan-xiii-buenventura-uda#position=28&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17509,UF,12.860,UF 12.860,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5067251-vitacura-el-aromo-uda#position=29&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17510,UF,14.000,UF 14.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5059648-sector-colegio-manquehue-escriva-de-balaguer-uda#position=30&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17511,UF,23.000,UF 23.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5054321-sector-lo-castillo-uda#position=31&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17512,UF,12.900,UF 12.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5047821-padre-hurtado-colegio-manquehue-mediterranea-uda#position=32&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17513,$,330.000.000,$ 330.000.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/4968139-amplia-casa-con-piscina-en-tranquilo-sector-de-vitacura-uda#position=33&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17514,$,500.000.000,$ 500.000.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5029873-alto-palena-rafael-maluenda-uda#position=34&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17515,UF,10.700,UF 10.700,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5028388-geronimo-de-alderete-vitacura-uda#position=35&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17516,UF,16.500,UF 16.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5025246-casa-en-excelente-ubicacion-cerca-de-luis-pasteur-uda#position=36&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17517,UF,18.000,UF 18.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5020878-padre-hurtado-norte-uda#position=37&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17518,UF,16.900,UF 16.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5008150-luis-pasteur-uda#position=38&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
17519,UF,12.500,UF 12.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5007060-fernando-arguello-las-hualtatas-uda#position=39&type=item&tracking_id=3c8877f0-1adf-43b2-a0bf-d8e00d94e57d
