,PriceUnit,Price,item,link
30,UF,23.500,UF 23.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5757382-ascencio-de-zavala-polo-uda#position=31&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
31,UF,14.000,UF 14.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5757367-altamira-mediterranea-nueva-uda#position=32&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
32,UF,25.000,UF 25.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5757362-los-laureles-las-quilas-uda#position=33&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
33,UF,20.700,UF 20.700,https://www.portalinmobiliario.com/MLC-539779636-casa-en-venta-de-5-dorm-en-vitacura-_JM#position=34&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
34,UF,23.000,UF 23.000,https://www.portalinmobiliario.com/MLC-539773883-casa-en-venta-de-5-dorm-en-vitacura-_JM#position=35&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
35,UF,13.000,UF 13.000,https://www.portalinmobiliario.com/MLC-539760717-casa-en-venta-en-vitacura-_JM#position=36&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
36,UF,12.950,UF 12.950,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756811-colegio-manquehue-remodelada-uda#position=37&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
37,UF,19.000,UF 19.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756476-club-de-polo-oportunidad-ibiza-uda#position=38&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
38,UF,21.500,UF 21.500,https://www.portalinmobiliario.com/MLC-539743794-casa-en-venta-de-3-dorm-en-vitacura-_JM#position=39&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
39,UF,16.900,UF 16.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756755-hermosa-casa-totalmente-remodelada-en-pasaje-muy-seguro-uda#position=40&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
40,UF,20.400,UF 20.400,https://www.portalinmobiliario.com/MLC-539727297-carmen-farina-_JM#position=41&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
41,UF,17.900,UF 17.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5756532-lo-matta-remodelada-oportunidad-uda#position=42&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
